lon,lat,corr,other1,name,east_vel,north_vel,east_sig,north_sig,flag,up_vel,up_sig,east_adjust,north_adjust,up_adjust,depth,x,y,z,block_label,model_east_vel,model_north_vel,model_east_vel_residual,model_north_vel_residual,model_east_vel_rotation,model_north_vel_rotation,model_east_elastic_segment,model_north_elastic_segment,model_east_vel_tde,model_north_vel_tde,model_east_vel_block_strain_rate,model_north_vel_block_strain_rate,model_east_vel_mogi,model_north_vel_mogi
88.3600,69.3620,0.0000,0,NRIL_GPS,1.2300,-7.1000,0.8200,0.8200,1,0,1,0,0,0,0.0000,64230.2882,2243365.4494,5958820.1342,4,4.1404,-9.8106,2.9104,-2.7106,4.2764,-9.9785,0.0981,-0.1164,0.0379,-0.0515,0.0000,0.0000,0.0000,0.0000
106.0100,51.1700,-0.0060,0,UDUN_GEC,9.6300,-6.8300,1.1400,1.1500,1,0,1,0,0,0,0.0000,-1101141.7080,3837609.4791,4960301.5923,5,10.1294,-7.0891,0.4994,-0.2591,10.2605,-7.3431,-0.0157,-0.1421,0.1468,-0.1119,0.0000,0.0000,0.0000,0.0000
107.8200,22.3260,0.0020,0,F062_GPS,26.5830,-8.6560,1.7000,1.6000,1,0,1,0,0,0,0.0000,-1802540.9589,5607531.9425,2418839.1983,4,25.4610,-7.0167,-1.1220,1.6393,25.6772,-6.9127,0.1638,0.1074,0.0524,-0.0034,0.0000,0.0000,0.0000,0.0000
108.1690,23.7500,-0.0040,0,F059_GPS,26.8330,-9.4230,1.7000,1.7000,1,0,1,0,0,0,0.0000,-1817353.0015,5537606.6319,2564467.2585,12,26.5737,-9.0711,-0.2593,0.3519,27.0441,-9.5863,0.4098,-0.5104,0.0606,-0.0048,0.0000,0.0000,0.0000,0.0000
108.2960,23.1490,0.0000,0,F060_GPS,24.4800,-7.8110,1.8000,1.7000,1,0,1,0,0,0,0.0000,-1837966.7508,5558799.7973,2503192.8607,4,25.6038,-7.9312,1.1238,-0.1202,25.3393,-6.8261,-0.3217,1.1092,0.0573,-0.0041,0.0000,0.0000,0.0000,0.0000
109.1060,33.6580,-0.0030,0,F054_GPS,21.2100,-8.1360,1.6000,1.6000,1,0,1,0,0,0,0.0000,-1734782.6502,5008057.2226,3529057.0232,4,20.5201,-6.6402,-0.6899,1.4958,20.8135,-6.6778,0.1477,-0.0019,0.1458,-0.0357,0.0000,0.0000,0.0000,0.0000
109.2600,22.4110,0.0380,0,F063_GPS,25.3110,-7.9220,1.7000,1.6000,1,0,1,0,0,0,0.0000,-1941703.7126,5557069.2982,2427574.7092,4,25.4186,-7.0134,0.1076,0.9086,25.5799,-6.6495,0.1072,0.3669,0.0540,-0.0030,0.0000,0.0000,0.0000,0.0000
109.9230,33.8800,0.0150,0,D078_GPS,20.2470,-7.1620,1.6000,1.6000,1,0,1,0,0,0,0.0000,-1801342.4727,4969919.2658,3549566.0649,4,20.3627,-6.4969,0.1157,0.6651,20.6581,-6.5268,0.1403,0.0082,0.1551,-0.0382,0.0000,0.0000,0.0000,0.0000
109.9660,41.7550,0.0810,0,HB04_GUA,12.9800,-3.1200,1.7200,1.5500,1,0,1,0,0,0,0.0000,-1621983.9039,4464605.6865,4240379.1978,4,15.7589,-6.5881,2.7789,-3.4681,16.8044,-6.5189,0.8353,0.1660,0.2102,-0.0967,0.0000,0.0000,0.0000,0.0000
110.1410,22.6880,0.0110,0,F049_GPS,25.2420,-8.1420,1.7000,1.6000,1,0,1,0,0,0,0.0000,-2022853.4187,5515474.1266,2456005.0218,12,26.6203,-8.1889,1.3783,-0.0469,27.3202,-9.2657,0.6437,-1.0738,0.0562,-0.0030,0.0000,0.0000,0.0000,0.0000
